Unnamed: 0,song_name,artist_name,a_age,time,dob,age
,You Do This OneMercy Chinwo,Mercy Chinwo,,03:46,1991-09-05 00:00:00,33.0
,Rent FreeGyakie,Gyakie,,02:16,1999-12-16 00:00:00,25.0
,Oscroh (Pepperline)Shallipopi,Shallipopi,,02:44,,
,ObaplutoShallipopi,Shallipopi,,02:50,,
,Twe TweKizz Daniel,Kizz Daniel,,02:25,1994-05-01 00:00:00,30.0
,Ololufe ,WizKid,,03:30,1990-07-16 00:00:00,34.0
,Egwu ,Chike,,02:16,,
,Cast ,Shallipopi,,02:09,,
,Do I (Remix) ,Phyno,,02:18,1986-10-09 00:00:00,38.0
,DefenderFrankie Jay,Frankie Jay,,02:04,,
,EnjoymentDami TNT,Dami TNT,,02:19,,
,AgabaJahrel,Jahrel,,03:53,,
,Big BallerFlavour,Flavour,,02:32,,
,IDK ,WizKid,,03:00,1990-07-16 00:00:00,34.0
,PepeBoy Spyce,Boy Spyce,,02:13,,
,SakaraZinoleesky,Zinoleesky,,02:34,,
,Umbrella ,Nasboi,,02:48,,
,Too Busy To Be BaeKizz Daniel,Kizz Daniel,,02:57,1994-05-01 00:00:00,30.0
,Her Excellency (Nwunye Odogwu)Flavour,Flavour,,03:24,,
,CanaSeyi Vibez,Seyi Vibez,,02:20,2000-07-12 00:00:00,24.0
,DNDRema,Rema,,02:46,,
,ValidateLuddy Dave,Luddy Dave,,03:01,,
,OtanSarkodie,Sarkodie,,03:16,,
,PeaceMohbad,Mohbad,,03:26,,
,Different PatternSeyi Vibez,Seyi Vibez,,02:03,2000-07-12 00:00:00,24.0
,BLOOD ON THE DANCE FLOOR ,ODUMODUBLVCK,,03:53,,
,Lonely At The TopAsake,Asake,,02:37,1995-01-13 00:00:00,29.0
,Never EverShallipopi,Shallipopi,,02:24,,
,Holy GhostOmah Lay,Omah Lay,,03:06,1997-05-19 00:00:00,27.0
,RonaldoMohbad,Mohbad,,02:50,,
,You Do This OneMercy Chinwo,Mercy Chinwo,,03:46,1991-09-05 00:00:00,33.0
,Rent FreeGyakie,Gyakie,,02:16,1999-12-16 00:00:00,25.0
,Oscroh (Pepperline)Shallipopi,Shallipopi,,02:44,,
,ObaplutoShallipopi,Shallipopi,,02:50,,
,Twe TweKizz Daniel,Kizz Daniel,,02:25,1994-05-01 00:00:00,30.0
,Ololufe ,WizKid,,03:30,1990-07-16 00:00:00,34.0
,Egwu ,Chike,,02:16,,
,Cast ,Shallipopi,,02:09,,
,Do I (Remix) ,Phyno,,02:18,1986-10-09 00:00:00,38.0
,DefenderFrankie Jay,Frankie Jay,,02:04,,
,EnjoymentDami TNT,Dami TNT,,02:19,,
,AgabaJahrel,Jahrel,,03:53,,
,Big BallerFlavour,Flavour,,02:32,,
,IDK ,WizKid,,03:00,1990-07-16 00:00:00,34.0
,PepeBoy Spyce,Boy Spyce,,02:13,,
,SakaraZinoleesky,Zinoleesky,,02:34,,
,Umbrella ,Nasboi,,02:48,,
,Too Busy To Be BaeKizz Daniel,Kizz Daniel,,02:57,1994-05-01 00:00:00,30.0
,Her Excellency (Nwunye Odogwu)Flavour,Flavour,,03:24,,
,CanaSeyi Vibez,Seyi Vibez,,02:20,2000-07-12 00:00:00,24.0
,DNDRema,Rema,,02:46,,
,ValidateLuddy Dave,Luddy Dave,,03:01,,
,OtanSarkodie,Sarkodie,,03:16,,
,PeaceMohbad,Mohbad,,03:26,,
,Different PatternSeyi Vibez,Seyi Vibez,,02:03,2000-07-12 00:00:00,24.0
,BLOOD ON THE DANCE FLOOR ,ODUMODUBLVCK,,03:53,,
,Lonely At The TopAsake,Asake,,02:37,1995-01-13 00:00:00,29.0
,Never EverShallipopi,Shallipopi,,02:24,,
,Holy GhostOmah Lay,Omah Lay,,03:06,1997-05-19 00:00:00,27.0
,RonaldoMohbad,Mohbad,,02:50,,
,You Do This OneMercy Chinwo,Mercy Chinwo,,03:46,1991-09-05 00:00:00,33.0
,Rent FreeGyakie,Gyakie,,02:16,1999-12-16 00:00:00,25.0
,Oscroh (Pepperline)Shallipopi,Shallipopi,,02:44,,
,ObaplutoShallipopi,Shallipopi,,02:50,,
,Twe TweKizz Daniel,Kizz Daniel,,02:25,1994-05-01 00:00:00,30.0
,Ololufe ,WizKid,,03:30,1990-07-16 00:00:00,34.0
,Egwu ,Chike,,02:16,,
,Cast ,Shallipopi,,02:09,,
,Do I (Remix) ,Phyno,,02:18,1986-10-09 00:00:00,38.0
,DefenderFrankie Jay,Frankie Jay,,02:04,,
,EnjoymentDami TNT,Dami TNT,,02:19,,
,AgabaJahrel,Jahrel,,03:53,,
,Big BallerFlavour,Flavour,,02:32,,
,IDK ,WizKid,,03:00,1990-07-16 00:00:00,34.0
,PepeBoy Spyce,Boy Spyce,,02:13,,
,SakaraZinoleesky,Zinoleesky,,02:34,,
,Umbrella ,Nasboi,,02:48,,
,Too Busy To Be BaeKizz Daniel,Kizz Daniel,,02:57,1994-05-01 00:00:00,30.0
,Her Excellency (Nwunye Odogwu)Flavour,Flavour,,03:24,,
,CanaSeyi Vibez,Seyi Vibez,,02:20,2000-07-12 00:00:00,24.0
,DNDRema,Rema,,02:46,,
,ValidateLuddy Dave,Luddy Dave,,03:01,,
,OtanSarkodie,Sarkodie,,03:16,,
,PeaceMohbad,Mohbad,,03:26,,
,Different PatternSeyi Vibez,Seyi Vibez,,02:03,2000-07-12 00:00:00,24.0
,BLOOD ON THE DANCE FLOOR ,ODUMODUBLVCK,,03:53,,
,Lonely At The TopAsake,Asake,,02:37,1995-01-13 00:00:00,29.0
,Never EverShallipopi,Shallipopi,,02:24,,
,Holy GhostOmah Lay,Omah Lay,,03:06,1997-05-19 00:00:00,27.0
,RonaldoMohbad,Mohbad,,02:50,,
,You Do This OneMercy Chinwo,Mercy Chinwo,,03:46,1991-09-05 00:00:00,33.0
,Rent FreeGyakie,Gyakie,,02:16,1999-12-16 00:00:00,25.0
,Oscroh (Pepperline)Shallipopi,Shallipopi,,02:44,,
,ObaplutoShallipopi,Shallipopi,,02:50,,
,Twe TweKizz Daniel,Kizz Daniel,,02:25,1994-05-01 00:00:00,30.0
,Ololufe ,WizKid,,03:30,1990-07-16 00:00:00,34.0
,Egwu ,Chike,,02:16,,
,Cast ,Shallipopi,,02:09,,
,Do I (Remix) ,Phyno,,02:18,1986-10-09 00:00:00,38.0
,DefenderFrankie Jay,Frankie Jay,,02:04,,
,EnjoymentDami TNT,Dami TNT,,02:19,,
,AgabaJahrel,Jahrel,,03:53,,
,Big BallerFlavour,Flavour,,02:32,,
,IDK ,WizKid,,03:00,1990-07-16 00:00:00,34.0
,PepeBoy Spyce,Boy Spyce,,02:13,,
,SakaraZinoleesky,Zinoleesky,,02:34,,
,Umbrella ,Nasboi,,02:48,,
,Too Busy To Be BaeKizz Daniel,Kizz Daniel,,02:57,1994-05-01 00:00:00,30.0
,Her Excellency (Nwunye Odogwu)Flavour,Flavour,,03:24,,
,CanaSeyi Vibez,Seyi Vibez,,02:20,2000-07-12 00:00:00,24.0
,DNDRema,Rema,,02:46,,
,ValidateLuddy Dave,Luddy Dave,,03:01,,
,OtanSarkodie,Sarkodie,,03:16,,
,PeaceMohbad,Mohbad,,03:26,,
,Different PatternSeyi Vibez,Seyi Vibez,,02:03,2000-07-12 00:00:00,24.0
,BLOOD ON THE DANCE FLOOR ,ODUMODUBLVCK,,03:53,,
,Lonely At The TopAsake,Asake,,02:37,1995-01-13 00:00:00,29.0
,Never EverShallipopi,Shallipopi,,02:24,,
,Holy GhostOmah Lay,Omah Lay,,03:06,1997-05-19 00:00:00,27.0
,RonaldoMohbad,Mohbad,,02:50,,
,You Do This OneMercy Chinwo,Mercy Chinwo,,03:46,1991-09-05 00:00:00,33.0
,Rent FreeGyakie,Gyakie,,02:16,1999-12-16 00:00:00,25.0
,Oscroh (Pepperline)Shallipopi,Shallipopi,,02:44,,
,ObaplutoShallipopi,Shallipopi,,02:50,,
,Twe TweKizz Daniel,Kizz Daniel,,02:25,1994-05-01 00:00:00,30.0
,Ololufe ,WizKid,,03:30,1990-07-16 00:00:00,34.0
,Egwu ,Chike,,02:16,,
,Cast ,Shallipopi,,02:09,,
,Do I (Remix) ,Phyno,,02:18,1986-10-09 00:00:00,38.0
,DefenderFrankie Jay,Frankie Jay,,02:04,,
,EnjoymentDami TNT,Dami TNT,,02:19,,
,AgabaJahrel,Jahrel,,03:53,,
,Big BallerFlavour,Flavour,,02:32,,
,IDK ,WizKid,,03:00,1990-07-16 00:00:00,34.0
,PepeBoy Spyce,Boy Spyce,,02:13,,
,SakaraZinoleesky,Zinoleesky,,02:34,,
,Umbrella ,Nasboi,,02:48,,
,Too Busy To Be BaeKizz Daniel,Kizz Daniel,,02:57,1994-05-01 00:00:00,30.0
,Her Excellency (Nwunye Odogwu)Flavour,Flavour,,03:24,,
,CanaSeyi Vibez,Seyi Vibez,,02:20,2000-07-12 00:00:00,24.0
,DNDRema,Rema,,02:46,,
,ValidateLuddy Dave,Luddy Dave,,03:01,,
,OtanSarkodie,Sarkodie,,03:16,,
,PeaceMohbad,Mohbad,,03:26,,
,Different PatternSeyi Vibez,Seyi Vibez,,02:03,2000-07-12 00:00:00,24.0
,BLOOD ON THE DANCE FLOOR ,ODUMODUBLVCK,,03:53,,
,Lonely At The TopAsake,Asake,,02:37,1995-01-13 00:00:00,29.0
,Never EverShallipopi,Shallipopi,,02:24,,
,Holy GhostOmah Lay,Omah Lay,,03:06,1997-05-19 00:00:00,27.0
,RonaldoMohbad,Mohbad,,02:50,,
,You Do This OneMercy Chinwo,Mercy Chinwo,,03:46,1991-09-05 00:00:00,33.0
,Rent FreeGyakie,Gyakie,,02:16,1999-12-16 00:00:00,25.0
,Oscroh (Pepperline)Shallipopi,Shallipopi,,02:44,,
,ObaplutoShallipopi,Shallipopi,,02:50,,
,Twe TweKizz Daniel,Kizz Daniel,,02:25,1994-05-01 00:00:00,30.0
,Ololufe ,WizKid,,03:30,1990-07-16 00:00:00,34.0
,Egwu ,Chike,,02:16,,
,Cast ,Shallipopi,,02:09,,
,Do I (Remix) ,Phyno,,02:18,1986-10-09 00:00:00,38.0
,DefenderFrankie Jay,Frankie Jay,,02:04,,
,EnjoymentDami TNT,Dami TNT,,02:19,,
,AgabaJahrel,Jahrel,,03:53,,
,Big BallerFlavour,Flavour,,02:32,,
,IDK ,WizKid,,03:00,1990-07-16 00:00:00,34.0
,PepeBoy Spyce,Boy Spyce,,02:13,,
,SakaraZinoleesky,Zinoleesky,,02:34,,
,Umbrella ,Nasboi,,02:48,,
,Too Busy To Be BaeKizz Daniel,Kizz Daniel,,02:57,1994-05-01 00:00:00,30.0
,Her Excellency (Nwunye Odogwu)Flavour,Flavour,,03:24,,
,CanaSeyi Vibez,Seyi Vibez,,02:20,2000-07-12 00:00:00,24.0
,DNDRema,Rema,,02:46,,
,ValidateLuddy Dave,Luddy Dave,,03:01,,
,OtanSarkodie,Sarkodie,,03:16,,
,PeaceMohbad,Mohbad,,03:26,,
,Different PatternSeyi Vibez,Seyi Vibez,,02:03,2000-07-12 00:00:00,24.0
,BLOOD ON THE DANCE FLOOR ,ODUMODUBLVCK,,03:53,,
,Lonely At The TopAsake,Asake,,02:37,1995-01-13 00:00:00,29.0
,Never EverShallipopi,Shallipopi,,02:24,,
,Holy GhostOmah Lay,Omah Lay,,03:06,1997-05-19 00:00:00,27.0
,RonaldoMohbad,Mohbad,,02:50,,
,You Do This OneMercy Chinwo,Mercy Chinwo,,03:46,1991-09-05 00:00:00,33.0
,Rent FreeGyakie,Gyakie,,02:16,1999-12-16 00:00:00,25.0
,Oscroh (Pepperline)Shallipopi,Shallipopi,,02:44,,
,ObaplutoShallipopi,Shallipopi,,02:50,,
,Twe TweKizz Daniel,Kizz Daniel,,02:25,1994-05-01 00:00:00,30.0
,Ololufe ,WizKid,,03:30,1990-07-16 00:00:00,34.0
,Egwu ,Chike,,02:16,,
,Cast ,Shallipopi,,02:09,,
,Do I (Remix) ,Phyno,,02:18,1986-10-09 00:00:00,38.0
,DefenderFrankie Jay,Frankie Jay,,02:04,,
,EnjoymentDami TNT,Dami TNT,,02:19,,
,AgabaJahrel,Jahrel,,03:53,,
,Big BallerFlavour,Flavour,,02:32,,
,IDK ,WizKid,,03:00,1990-07-16 00:00:00,34.0
,PepeBoy Spyce,Boy Spyce,,02:13,,
,SakaraZinoleesky,Zinoleesky,,02:34,,
,Umbrella ,Nasboi,,02:48,,
,Too Busy To Be BaeKizz Daniel,Kizz Daniel,,02:57,1994-05-01 00:00:00,30.0
,Her Excellency (Nwunye Odogwu)Flavour,Flavour,,03:24,,
,CanaSeyi Vibez,Seyi Vibez,,02:20,2000-07-12 00:00:00,24.0
,DNDRema,Rema,,02:46,,
,ValidateLuddy Dave,Luddy Dave,,03:01,,
,OtanSarkodie,Sarkodie,,03:16,,
,PeaceMohbad,Mohbad,,03:26,,
,Different PatternSeyi Vibez,Seyi Vibez,,02:03,2000-07-12 00:00:00,24.0
,BLOOD ON THE DANCE FLOOR ,ODUMODUBLVCK,,03:53,,
,Lonely At The TopAsake,Asake,,02:37,1995-01-13 00:00:00,29.0
,Never EverShallipopi,Shallipopi,,02:24,,
,Holy GhostOmah Lay,Omah Lay,,03:06,1997-05-19 00:00:00,27.0
,RonaldoMohbad,Mohbad,,02:50,,
,You Do This OneMercy Chinwo,Mercy Chinwo,,03:46,1991-09-05 00:00:00,33.0
,Rent FreeGyakie,Gyakie,,02:16,1999-12-16 00:00:00,25.0
,Oscroh (Pepperline)Shallipopi,Shallipopi,,02:44,,
,ObaplutoShallipopi,Shallipopi,,02:50,,
,Twe TweKizz Daniel,Kizz Daniel,,02:25,1994-05-01 00:00:00,30.0
,Ololufe ,WizKid,,03:30,1990-07-16 00:00:00,34.0
,Egwu ,Chike,,02:16,,
,Cast ,Shallipopi,,02:09,,
,Do I (Remix) ,Phyno,,02:18,1986-10-09 00:00:00,38.0
,DefenderFrankie Jay,Frankie Jay,,02:04,,
,EnjoymentDami TNT,Dami TNT,,02:19,,
,AgabaJahrel,Jahrel,,03:53,,
,Big BallerFlavour,Flavour,,02:32,,
,IDK ,WizKid,,03:00,1990-07-16 00:00:00,34.0
,PepeBoy Spyce,Boy Spyce,,02:13,,
,SakaraZinoleesky,Zinoleesky,,02:34,,
,Umbrella ,Nasboi,,02:48,,
,Too Busy To Be BaeKizz Daniel,Kizz Daniel,,02:57,1994-05-01 00:00:00,30.0
,Her Excellency (Nwunye Odogwu)Flavour,Flavour,,03:24,,
,CanaSeyi Vibez,Seyi Vibez,,02:20,2000-07-12 00:00:00,24.0
,DNDRema,Rema,,02:46,,
,ValidateLuddy Dave,Luddy Dave,,03:01,,
,OtanSarkodie,Sarkodie,,03:16,,
,PeaceMohbad,Mohbad,,03:26,,
,Different PatternSeyi Vibez,Seyi Vibez,,02:03,2000-07-12 00:00:00,24.0
,BLOOD ON THE DANCE FLOOR ,ODUMODUBLVCK,,03:53,,
,Lonely At The TopAsake,Asake,,02:37,1995-01-13 00:00:00,29.0
,Never EverShallipopi,Shallipopi,,02:24,,
,Holy GhostOmah Lay,Omah Lay,,03:06,1997-05-19 00:00:00,27.0
,RonaldoMohbad,Mohbad,,02:50,,
,You Do This OneMercy Chinwo,Mercy Chinwo,,03:46,1991-09-05 00:00:00,33.0
,Rent FreeGyakie,Gyakie,,02:16,1999-12-16 00:00:00,25.0
,Oscroh (Pepperline)Shallipopi,Shallipopi,,02:44,,
,ObaplutoShallipopi,Shallipopi,,02:50,,
,Twe TweKizz Daniel,Kizz Daniel,,02:25,1994-05-01 00:00:00,30.0
,Ololufe ,WizKid,,03:30,1990-07-16 00:00:00,34.0
,Egwu ,Chike,,02:16,,
,Cast ,Shallipopi,,02:09,,
,Do I (Remix) ,Phyno,,02:18,1986-10-09 00:00:00,38.0
,DefenderFrankie Jay,Frankie Jay,,02:04,,
,EnjoymentDami TNT,Dami TNT,,02:19,,
,AgabaJahrel,Jahrel,,03:53,,
,Big BallerFlavour,Flavour,,02:32,,
,IDK ,WizKid,,03:00,1990-07-16 00:00:00,34.0
,PepeBoy Spyce,Boy Spyce,,02:13,,
,SakaraZinoleesky,Zinoleesky,,02:34,,
,Umbrella ,Nasboi,,02:48,,
,Too Busy To Be BaeKizz Daniel,Kizz Daniel,,02:57,1994-05-01 00:00:00,30.0
,Her Excellency (Nwunye Odogwu)Flavour,Flavour,,03:24,,
,CanaSeyi Vibez,Seyi Vibez,,02:20,2000-07-12 00:00:00,24.0
,DNDRema,Rema,,02:46,,
,ValidateLuddy Dave,Luddy Dave,,03:01,,
,OtanSarkodie,Sarkodie,,03:16,,
,PeaceMohbad,Mohbad,,03:26,,
,Different PatternSeyi Vibez,Seyi Vibez,,02:03,2000-07-12 00:00:00,24.0
,BLOOD ON THE DANCE FLOOR ,ODUMODUBLVCK,,03:53,,
,Lonely At The TopAsake,Asake,,02:37,1995-01-13 00:00:00,29.0
,Never EverShallipopi,Shallipopi,,02:24,,
,Holy GhostOmah Lay,Omah Lay,,03:06,1997-05-19 00:00:00,27.0
,RonaldoMohbad,Mohbad,,02:50,,
,You Do This OneMercy Chinwo,Mercy Chinwo,,03:46,1991-09-05 00:00:00,33.0
,Rent FreeGyakie,Gyakie,,02:16,1999-12-16 00:00:00,25.0
,Oscroh (Pepperline)Shallipopi,Shallipopi,,02:44,,
,ObaplutoShallipopi,Shallipopi,,02:50,,
,Twe TweKizz Daniel,Kizz Daniel,,02:25,1994-05-01 00:00:00,30.0
,Ololufe ,WizKid,,03:30,1990-07-16 00:00:00,34.0
,Egwu ,Chike,,02:16,,
,Cast ,Shallipopi,,02:09,,
,Do I (Remix) ,Phyno,,02:18,1986-10-09 00:00:00,38.0
,DefenderFrankie Jay,Frankie Jay,,02:04,,
,EnjoymentDami TNT,Dami TNT,,02:19,,
,AgabaJahrel,Jahrel,,03:53,,
,Big BallerFlavour,Flavour,,02:32,,
,IDK ,WizKid,,03:00,1990-07-16 00:00:00,34.0
,PepeBoy Spyce,Boy Spyce,,02:13,,
,SakaraZinoleesky,Zinoleesky,,02:34,,
,Umbrella ,Nasboi,,02:48,,
,Too Busy To Be BaeKizz Daniel,Kizz Daniel,,02:57,1994-05-01 00:00:00,30.0
,Her Excellency (Nwunye Odogwu)Flavour,Flavour,,03:24,,
,CanaSeyi Vibez,Seyi Vibez,,02:20,2000-07-12 00:00:00,24.0
,DNDRema,Rema,,02:46,,
,ValidateLuddy Dave,Luddy Dave,,03:01,,
,OtanSarkodie,Sarkodie,,03:16,,
,PeaceMohbad,Mohbad,,03:26,,
,Different PatternSeyi Vibez,Seyi Vibez,,02:03,2000-07-12 00:00:00,24.0
,BLOOD ON THE DANCE FLOOR ,ODUMODUBLVCK,,03:53,,
,Lonely At The TopAsake,Asake,,02:37,1995-01-13 00:00:00,29.0
,PortionIdahams,Idahams,,02:39,,
,Never EverShallipopi,Shallipopi,,02:24,,
,Holy GhostOmah Lay,Omah Lay,,03:06,1997-05-19 00:00:00,27.0
,RonaldoMohbad,Mohbad,,02:50,,
,You Do This OneMercy Chinwo,Mercy Chinwo,,03:46,1991-09-05 00:00:00,33.0
,Rent FreeGyakie,Gyakie,,02:16,1999-12-16 00:00:00,25.0
,Oscroh (Pepperline)Shallipopi,Shallipopi,,02:44,,
,Twe TweKizz Daniel,Kizz Daniel,,02:25,1994-05-01 00:00:00,30.0
,Ololufe ,WizKid,,03:30,1990-07-16 00:00:00,34.0
,Egwu ,Chike,,02:16,,
,Cast ,Shallipopi,,02:09,,
,Do I (Remix) ,Phyno,,02:18,1986-10-09 00:00:00,38.0
,DefenderFrankie Jay,Frankie Jay,,02:04,,
,EnjoymentDami TNT,Dami TNT,,02:19,,
,AgabaJahrel,Jahrel,,03:53,,
,Big BallerFlavour,Flavour,,02:32,,
,IDK ,WizKid,,03:00,1990-07-16 00:00:00,34.0
,PepeBoy Spyce,Boy Spyce,,02:13,,
,SakaraZinoleesky,Zinoleesky,,02:34,,
,Umbrella ,Nasboi,,02:48,,
,Too Busy To Be BaeKizz Daniel,Kizz Daniel,,02:57,1994-05-01 00:00:00,30.0
,Her Excellency (Nwunye Odogwu)Flavour,Flavour,,03:24,,
,CanaSeyi Vibez,Seyi Vibez,,02:20,2000-07-12 00:00:00,24.0
,DNDRema,Rema,,02:46,,
,ValidateLuddy Dave,Luddy Dave,,03:01,,
,OtanSarkodie,Sarkodie,,03:16,,
,PeaceMohbad,Mohbad,,03:26,,
,Different PatternSeyi Vibez,Seyi Vibez,,02:03,2000-07-12 00:00:00,24.0
,BLOOD ON THE DANCE FLOOR ,ODUMODUBLVCK,,03:53,,
,Lonely At The TopAsake,Asake,,02:37,1995-01-13 00:00:00,29.0
